,Cycle,True_RUL,Predicted_RUL,Battery
132,1,168,124.55,B0007
133,2,167,125.08,B0007
134,3,166,122.98,B0007
135,4,165,119.74,B0007
136,5,164,108.06,B0007
137,6,163,111.5,B0007
138,7,162,119.88,B0007
139,8,161,119.05,B0007
140,9,160,108.73,B0007
141,10,159,105.61,B0007
142,11,158,101.21,B0007
143,12,157,93.76,B0007
144,13,156,116.28,B0007
145,14,155,93.58,B0007
146,15,154,91.3,B0007
147,16,153,92.15,B0007
148,17,152,93.25,B0007
149,18,151,92.23,B0007
150,19,150,92.23,B0007
151,20,149,106.44,B0007
152,21,148,129.06,B0007
153,22,147,102.04,B0007
154,23,146,102.29,B0007
155,24,145,104.37,B0007
156,25,144,101.29,B0007
157,26,143,101.74,B0007
158,27,142,101.1,B0007
159,28,141,101.36,B0007
160,29,140,101.96,B0007
161,30,139,101.71,B0007
162,31,138,104.19,B0007
163,32,137,104.25,B0007
164,33,136,99.17,B0007
165,34,135,103.14,B0007
166,35,134,103.73,B0007
167,36,133,107.35,B0007
168,37,132,110.84,B0007
169,38,131,110.83,B0007
170,39,130,113.57,B0007
171,40,129,133.86,B0007
172,41,128,129.86,B0007
173,42,127,120.36,B0007
174,43,126,126.14,B0007
175,44,125,114.62,B0007
176,45,124,124.51,B0007
177,46,123,117.72,B0007
178,47,122,119.2,B0007
179,48,121,93.78,B0007
180,49,120,94.69,B0007
181,50,119,123.6,B0007
182,51,118,110.39,B0007
183,52,117,125.94,B0007
184,53,116,130.06,B0007
185,54,115,128.77,B0007
186,55,114,123.85,B0007
187,56,113,120.86,B0007
188,57,112,118.75,B0007
189,58,111,114.9,B0007
190,59,110,116.65,B0007
191,60,109,117.21,B0007
192,61,108,116.67,B0007
193,62,107,112.81,B0007
194,63,106,106.69,B0007
195,64,105,108.63,B0007
196,65,104,105.35,B0007
197,66,103,103.61,B0007
198,67,102,102.49,B0007
199,68,101,101.77,B0007
200,69,100,100.15,B0007
201,70,99,99.34,B0007
202,71,98,98.63,B0007
203,72,97,97.17,B0007
204,73,96,96.11,B0007
205,74,95,94.32,B0007
206,75,94,93.18,B0007
207,76,93,93.0,B0007
208,77,92,92.33,B0007
209,78,91,93.38,B0007
210,79,90,92.39,B0007
211,80,89,90.88,B0007
212,81,88,89.59,B0007
213,82,87,88.22,B0007
214,83,86,89.1,B0007
215,84,85,88.36,B0007
216,85,84,87.91,B0007
217,86,83,86.0,B0007
218,87,82,85.34,B0007
219,88,81,85.25,B0007
220,89,80,85.24,B0007
221,90,79,89.87,B0007
222,91,78,89.46,B0007
223,92,77,90.27,B0007
224,93,76,90.39,B0007
225,94,75,87.91,B0007
226,95,74,86.78,B0007
227,96,73,84.82,B0007
228,97,72,83.68,B0007
229,98,71,83.12,B0007
230,99,70,82.48,B0007
231,100,69,80.03,B0007
232,101,68,78.68,B0007
233,102,67,78.7,B0007
234,103,66,78.44,B0007
235,104,65,83.12,B0007
236,105,64,79.39,B0007
237,106,63,81.64,B0007
238,107,62,78.53,B0007
239,108,61,74.36,B0007
240,109,60,75.21,B0007
241,110,59,76.82,B0007
242,111,58,74.65,B0007
243,112,57,69.43,B0007
244,113,56,67.93,B0007
245,114,55,70.68,B0007
246,115,54,69.64,B0007
247,116,53,65.06,B0007
248,117,52,58.87,B0007
249,118,51,60.61,B0007
250,119,50,64.78,B0007
251,120,49,73.15,B0007
252,121,48,72.98,B0007
253,122,47,70.65,B0007
254,123,46,63.65,B0007
255,124,45,59.88,B0007
256,125,44,58.76,B0007
257,126,43,58.21,B0007
258,127,42,53.27,B0007
259,128,41,49.97,B0007
260,129,40,48.15,B0007
261,130,39,47.78,B0007
262,131,38,47.62,B0007
263,132,37,44.32,B0007
264,133,36,52.55,B0007
265,134,35,53.52,B0007
266,135,34,50.29,B0007
267,136,33,48.91,B0007
268,137,32,44.89,B0007
269,138,31,44.49,B0007
270,139,30,44.81,B0007
271,140,29,42.7,B0007
272,141,28,41.94,B0007
273,142,27,37.66,B0007
274,143,26,36.85,B0007
275,144,25,38.62,B0007
276,145,24,36.52,B0007
277,146,23,33.85,B0007
278,147,22,32.4,B0007
279,148,21,31.78,B0007
280,149,20,31.79,B0007
281,150,19,31.99,B0007
282,151,18,40.04,B0007
283,152,17,34.01,B0007
284,153,16,39.11,B0007
285,154,15,36.71,B0007
286,155,14,34.19,B0007
287,156,13,31.83,B0007
288,157,12,31.89,B0007
289,158,11,31.37,B0007
290,159,10,29.46,B0007
291,160,9,29.04,B0007
292,161,8,28.43,B0007
293,162,7,28.35,B0007
294,163,6,24.36,B0007
295,164,5,23.29,B0007
296,165,4,21.95,B0007
297,166,3,22.27,B0007
298,167,2,35.73,B0007
299,168,1,40.35,B0007
