,Cycle,True RUL,Predicted RUL
338,3,166,162.33333333333334
345,10,159,156.66
348,13,156,136.29666666666665
351,16,153,149.88666666666666
352,17,152,142.78333333333333
354,19,150,145.30666666666667
355,20,149,150.83
360,25,144,146.04
365,30,139,144.19
366,31,138,150.65333333333334
367,32,137,145.03
378,43,126,126.99333333333334
381,46,123,121.56333333333333
387,52,117,125.99666666666667
391,56,113,114.76666666666667
392,57,112,114.3
396,61,108,109.03666666666666
404,69,100,99.65666666666667
405,70,99,98.46
411,76,93,91.54666666666667
412,77,92,90.33
418,83,86,86.36333333333333
421,86,83,78.82333333333334
426,91,78,83.58
429,94,75,80.74
434,99,70,69.05333333333333
441,106,63,68.93666666666667
444,109,60,60.8
445,110,59,58.97666666666667
447,112,57,54.57
450,115,54,53.333333333333336
455,120,49,50.78
469,134,35,40.32333333333333
470,135,34,38.336666666666666
472,137,32,32.46333333333333
473,138,31,33.49
478,143,26,22.64
484,149,20,18.573333333333334
488,153,16,24.776666666666667
492,157,12,11.83
497,162,7,6.94
500,165,4,5.613333333333333
