,Cycle,True RUL,Predicted RUL
305,138,24,27.3608114399296
198,31,131,149.49682378001995
287,120,42,41.712301093935885
197,30,132,131.0575931873984
310,143,19,16.789600886883697
329,162,0,0.9254362447723358
332,165,0,0.6892923996597266
219,52,110,114.73859246806785
273,106,56,54.47523520427875
228,61,101,100.65461308318187
183,16,146,139.63212468783712
324,157,5,5.259200556638542
301,134,28,31.279870151448694
213,46,116,111.70125622701053
236,69,93,90.34018672238155
253,86,76,72.08823626416424
192,25,137,139.78899204865743
277,110,52,48.47317666727462
243,76,86,83.49446054001899
276,109,53,51.24533045846498
187,20,142,148.32594787220773
184,17,145,130.52128473421232
199,32,130,143.56970845019455
186,19,143,136.02490717801084
180,13,149,134.41864027069627
177,10,152,139.69651885208197
250,83,79,77.6919211983251
266,99,63,61.775604853464245
244,77,85,83.28236085545635
223,56,106,103.23460671066859
210,43,119,118.25199287997509
224,57,105,103.57402886099774
316,149,13,6.647160640684233
279,112,50,49.16712666053598
237,70,92,91.2926747816496
304,137,25,28.6394671416221
170,3,159,153.65091709242137
261,94,68,71.38150428767815
302,135,27,31.770035864830263
320,153,9,19.43008178975214
258,91,71,71.93113006732631
282,115,47,48.40400663738646
