,Cycle,True RUL,Predicted RUL
170,3,159,153.28229
177,10,152,141.25807
180,13,149,123.46934
183,16,146,135.7631
184,17,145,132.72527
186,19,143,136.5615
187,20,142,147.17688
192,25,137,139.15506
197,30,132,131.52522
198,31,131,143.91338
199,32,130,143.95682
210,43,119,119.42111
213,46,116,111.73617
219,52,110,111.25024
223,56,106,104.15152
224,57,105,103.93443
228,61,101,100.05055
236,69,93,90.961235
237,70,92,90.97792
243,76,86,83.97909
244,77,85,83.97178
250,83,79,72.34019
253,86,76,73.48996
258,91,71,71.18512
261,94,68,73.4351
266,99,63,62.028843
273,106,56,56.48498
276,109,53,51.85579
277,110,52,48.31059
279,112,50,48.316154
282,115,47,47.169147
287,120,42,39.001007
301,134,28,30.021679
302,135,27,30.14484
304,137,25,30.656693
305,138,24,27.9286
310,143,19,16.65024
316,149,13,7.332346
320,153,9,18.509417
324,157,5,5.2646446
329,162,0,0.28931972
332,165,0,1.3315934
