,B0018
0,93.49590081699378
1,94.29427983575184
2,94.44468536193128
3,94.27582234504611
4,94.22782356096913
5,95.24378676253447
6,95.11012017522093
7,94.68129633194967
8,94.39979479290872
9,93.305145575572
10,94.84299179490618
11,94.99368973760122
12,94.21558723210256
13,93.56131356999117
14,92.99297723780543
15,93.48350459247249
16,93.69134152461386
17,93.2640828836176
18,92.68305988844195
19,91.89124378460615
20,91.97246576891473
21,91.89319528621722
22,91.33417335514213
23,90.8815590072707
24,90.10263605448438
25,92.35261341396215
26,92.53374149106973
27,92.10216230087784
28,91.3232767467115
29,90.23552774031587
30,90.49912210599045
31,90.11318323630762
32,89.98997356767573
33,89.33572989641476
34,88.00131285094682
35,88.20962229997856
36,87.90712998112073
37,87.14709616075946
38,87.10007391584183
39,86.39193349930162
40,89.52813871160183
41,88.32218542591373
42,87.36557044388367
43,86.41921795271648
44,84.70332599809879
45,88.14099128679077
46,93.14800711621835
47,92.98968198620157
48,92.13646940351357
49,91.0609861068591
50,90.87676295131739
51,89.25881868458696
52,89.98326719724211
53,89.36142236549844
54,88.5605798985771
55,88.00530163083913
56,86.80693724587714
57,89.73414123165675
58,89.38406729091233
59,88.16357071402503
60,87.39121096120512
61,86.57963709818681
62,84.75875269853744
63,85.28028300041207
64,84.62617852950748
65,84.1456413662036
66,83.64323266022505
67,81.43848413400836
68,82.5452463319782
69,81.55937932143756
70,82.4764527031129
71,82.18777664718776
72,79.60758269633811
73,82.57078748132061
74,81.78566549828761
75,81.37668739232772
76,80.93712602959799
77,78.84872596320099
78,79.89713165019045
79,79.30318396984657
80,79.39546605457029
81,79.19488024151514
82,77.37995232812743
83,78.67348745884627
84,78.5208497620233
85,78.40469379025218
86,78.20581370596507
87,75.55894875364984
88,78.65909341349906
89,78.8043950710373
90,78.20057015041762
91,77.64537072229389
92,74.48233469096196
93,78.0513353124171
94,77.29145341587137
95,77.12235212447528
96,76.84387603710678
97,75.42948731135483
98,77.0268721306642
99,76.10663036870564
100,76.36214952641183
101,75.28083964493207
102,74.09800842296758
103,75.73728359068642
104,74.9434697691009
105,76.5306008443983
106,76.51979455829759
107,74.45045711235177
108,79.0368901809005
109,78.81575758022534
110,78.17004781208796
111,77.94167023260304
112,75.57556105769233
113,77.1834576532538
114,77.15126498794449
115,76.38874378490921
116,76.65549143078894
117,73.790145632954
118,75.14651274860563
119,74.57018370279712
120,75.67352940994357
121,75.42666799617035
122,72.4833513139028
123,77.4081869813521
124,76.71694900460629
125,76.80418560969942
126,75.76480595598902
127,74.00896009212877
128,76.3637192797399
129,75.71024247884984
130,75.13705418141566
131,75.21905916450717
