,Cycle,True SOH,Predicted SOH
134,3,98.86138595081707,98.58288891358332
141,10,98.28309354731991,97.8755265423117
144,13,97.69805803238793,96.1607812155745
147,16,97.07078432300708,97.25017382050126
148,17,97.09624103091468,97.0860388161706
150,19,97.1069130069902,96.88586748429275
151,20,99.4903587398902,96.94044214289859
156,25,98.33524772367372,97.95664119106964
161,30,97.17690623092356,97.31617590353791
162,31,99.74764875349149,96.65151929976204
163,32,98.61116348782738,97.5860168948932
174,43,95.21299593373236,95.59145687579122
177,46,93.82501520146927,94.10777261044439
183,52,94.09547290193552,94.38610105492783
187,56,92.42220117908766,93.31607513897352
188,57,92.1381600518121,92.5591579813701
192,61,90.75757205607076,91.27835548760574
200,69,87.94754127611388,87.71754836600512
201,70,87.67917699307696,87.3340073892752
207,76,85.41878490754121,85.92346981539023
208,77,85.3732189598637,85.6571630180654
214,83,83.74359751414075,83.05847013035158
217,86,82.30135260370757,83.45928868692965
222,91,84.23699116610504,82.49911194504553
225,94,82.24956494324319,82.2882349773482
230,99,80.30457886878685,80.55631239754078
237,106,79.16855834115802,79.67765730598725
240,109,78.37509350133122,77.71598090953027
241,110,78.05289427291895,77.23003036922053
243,112,77.2127737620359,77.16656059512336
246,115,76.64583676775118,76.89688481549244
251,120,77.20989824377314,76.63258993076649
265,134,74.6631245442362,74.41014210368448
266,135,73.78719555127385,74.53813643935544
268,137,72.95077959801873,73.66004387321773
269,138,72.96799787853683,73.26433240004367
274,143,72.12085080709221,71.39362925101602
280,149,71.01007124097441,71.55284584970583
284,153,71.58834698305495,72.22336973195455
288,157,70.73584494666221,70.72043481565618
293,162,69.91090088170861,70.13796722520206
296,165,69.37851440175623,70.08400664762678
