,Cycle,True SOH,Predicted SOH
0,1,100.0,96.24397
4,5,98.79761404357093,98.23272
10,11,97.68846014740458,98.2167
11,12,97.28772183488542,97.43023
12,13,96.54123910288773,95.97581
18,19,94.13560571253055,93.48157
19,20,93.67442042482638,93.919495
26,27,92.84243318688938,93.24093
27,28,92.28259445182906,92.45456
31,32,90.40285579078848,89.661446
36,37,87.74365089051547,86.89198
40,41,88.91086916860135,88.15501
42,43,87.13811496336645,86.74656
44,45,86.00862431802415,85.46072
47,48,91.4188368861919,91.200455
55,56,90.223247227783,86.676735
56,57,88.43293042409496,88.88974
62,63,83.86061892347928,83.86848
64,65,82.59609528835993,82.041016
65,66,82.56708936300427,82.388466
70,71,82.6642837170715,81.86447
76,77,79.4341881367415,79.27362
81,82,77.76453481817188,77.85607
83,84,77.01585371768061,78.06434
95,96,75.92682882066349,74.868996
96,97,75.30196086484692,74.666016
98,99,74.89816944965945,75.37755
101,102,73.87179740348331,73.39676
108,109,77.00079337204485,77.50755
117,118,73.56946436346267,72.99052
126,127,73.78195670433692,73.041855
127,128,73.46274160714678,73.720276
128,129,73.49874882306874,75.647255
